E0001|D1|D001
E0002|D1|D002
E0003|D1|D003
E0004|D1|D004
E0005|D1|D005
E0006|D1|D006
E0007|D1|D007
E0008|D1|D008
E0009|D1|D009
E0010|D1|D010
E0011|D1|D001
E0012|X1|D008
E0013|X1|D004
E0014|M1|D009
E0015|E1|D004
E0016|M1|D008
E0017|D1|D003
E0018|M1|D005
E0019|M1|D006
E0020|E1|D008
E0021|E1|D002
E0022|D1|D007
E0023|M1|D004
E0024|E1|D006
E0025|E1|D001
E0026|E1|D004
E0027|D1|D007
E0028|E1|D009
E0029|M1|D003
E0030|X1|D007
E0031|M1|D006
E0032|E1|D005
E0033|E1|D001
E0034|E1|D005
E0035|M1|D005
E0036|E1|D010
E0037|E1|D008
E0038|M1|D004
E0039|E1|D002
E0040|D1|D001
E0041|E1|D005
E0042|M1|D008
E0043|E1|D005
E0044|D1|D006
E0045|E1|D001
E0046|E1|D001
E0047|E1|D009
E0048|M1|D005
E0049|E1|D006
E0050|X1|D008
E0051|E1|D006
E0052|M1|D003
E0053|E1|D010
E0054|E1|D001
E0055|D1|D004
E0056|D1|D005
E0057|E1|D005
E0058|E1|D007
E0059|E1|D006
E0060|E1|D006
E0061|M1|D008
E0062|E1|D004
E0063|E1|D004
E0064|E1|D004
E0065|E1|D006
E0066|M1|D003
E0067|M1|D001
E0068|E1|D006
E0069|M1|D002
E0070|E1|D006
E0071|E1|D010
E0072|M1|D005
E0073|E1|D004
E0074|E1|D001
E0075|D1|D007
E0076|E1|D006
E0077|E1|D004
E0078|E1|D006
E0079|M1|D002
E0080|E1|D009
