R004227|E0007|communication|2025-01-05|181.0
R004238|E0007|communication|2025-07-01|220.0
R004231|E0007|communication|2025-08-02|185.0
R004221|E0007|office_supplies|2025-01-24|650.0
R004207|E0007|travel_lodging|2025-01-10|5200.0
R004208|E0007|travel_lodging|2025-01-12|5200.0
R004225|E0007|travel_lodging|2025-08-15|900.0
R004217|E0007|travel_lodging|2025-09-20|5200.0
R004218|E0007|travel_lodging|2025-09-23|5200.0
R004239|E0008|business_entertainment|2025-10-25|540.0
R004240|E0008|business_entertainment|2025-10-26|545.0
R004228|E0008|communication|2025-02-05|182.0
R004222|E0008|communication|2025-03-20|330.0
R004232|E0008|communication|2025-09-04|186.0
R004226|E0008|local_transport|2025-10-16|92.0
R004209|E0008|travel_lodging|2025-02-26|3400.0
R004210|E0008|travel_lodging|2025-02-28|3400.0
R004211|E0008|travel_lodging|2025-03-02|3400.0
R004219|E0008|travel_lodging|2025-11-27|5200.0
R004220|E0008|travel_lodging|2025-12-01|5200.0
R004229|E0009|communication|2025-04-05|183.0
R004234|E0009|office_supplies|2025-10-20|250.0
R004235|E0009|office_supplies|2025-10-20|250.0
R004223|E0009|training_fee|2025-05-18|3700.0
R004212|E0009|travel_lodging|2025-04-10|5100.0
R004213|E0009|travel_lodging|2025-04-15|5100.0
R004224|E0010|business_entertainment|2025-07-18|700.0
R004230|E0010|communication|2025-05-06|184.0
R004214|E0010|travel_lodging|2025-06-03|3500.0
R004215|E0010|travel_lodging|2025-06-05|3500.0
R004216|E0010|travel_lodging|2025-06-07|3500.0
R004236|E0010|travel_lodging|2025-10-01|5200.0
R004237|E0010|travel_lodging|2025-10-09|5200.0
R004233|E0012|travel_lodging|2025-10-03|9990.0
R003378|E0014|business_entertainment|2025-01-17|835.58
R000056|E0014|business_entertainment|2025-03-05|936.71
R001313|E0014|business_entertainment|2025-03-07|602.98
R001224|E0014|business_entertainment|2025-05-01|1003.24
R004073|E0014|business_entertainment|2025-05-12|1876.68
R002185|E0014|business_entertainment|2025-05-25|1305.08
R000910|E0014|business_entertainment|2025-07-09|589.41
R001241|E0014|business_entertainment|2025-07-15|872.58
R002587|E0014|business_entertainment|2025-07-22|459.71
R000124|E0014|business_entertainment|2025-11-19|442.69
R000991|E0014|business_entertainment|2025-12-17|1884.07
R002465|E0014|communication|2025-01-24|215.87
R002501|E0014|communication|2025-05-27|166.23
R001180|E0014|communication|2025-06-05|142.73
R002566|E0014|communication|2025-07-12|188.86
R000529|E0014|communication|2025-07-28|165.73
R002612|E0014|communication|2025-08-17|121.1
R004023|E0014|communication|2025-08-25|278.26
R003760|E0014|communication|2025-10-20|155.26
R002247|E0014|communication|2025-10-25|232.01
R000264|E0014|communication|2025-11-05|255.82
R004016|E0014|communication|2025-11-05|189.76
R002089|E0014|communication|2025-11-20|165.15
R002596|E0014|communication|2025-11-24|206.44
R000386|E0014|communication|2025-11-28|220.65
R003212|E0014|communication|2025-12-17|143.65
R002793|E0014|communication|2025-12-20|180.02
R002982|E0014|local_transport|2025-01-20|65.98
R000993|E0014|local_transport|2025-01-23|196.47
R000368|E0014|local_transport|2025-02-19|79.76
